damage taken,direction,encounter,month of departure
74%,northbound,water elemental,12/1399
19%,southbound,harpy,12/1399
45%,southbound,merpeople,12/1399
78%,northbound,water elemental,12/1399
18%,southbound,pirates,12/1399
15%,southbound,pirates,12/1399
47%,northbound,kraken,12/1399
26%,northbound,sharks,12/1399
100%+,southbound,unknown,12/1399
76%,northbound,water elemental,12/1399
22%,northbound,pirates,12/1399
83%,southbound,water elemental,12/1399
96%,northbound,demon whale,12/1399
26%,northbound,crabmonsters,12/1399
88%,northbound,nessie,12/1399
38%,northbound,pirates,12/1399
19%,northbound,pirates,12/1399
44%,northbound,pirates,12/1399
16%,northbound,harpy,12/1399
14%,southbound,pirates,12/1399
85%,northbound,nessie,12/1399
71%,southbound,kraken,12/1399
84%,southbound,merpeople,12/1399
33%,southbound,pirates,12/1399
53%,southbound,pirates,12/1399
26%,southbound,crabmonsters,12/1399
100%+,northbound,unknown,12/1399
18%,southbound,pirates,12/1399
100%+,northbound,unknown,12/1399
20%,southbound,pirates,12/1399
18%,northbound,merpeople,12/1399
55%,southbound,kraken,12/1399
21%,southbound,crabmonsters,12/1399
51%,southbound,pirates,12/1399
56%,southbound,merpeople,12/1399
31%,southbound,sharks,12/1399
21%,northbound,sharks,12/1399
23%,northbound,sharks,12/1399
17%,northbound,harpy,12/1399
48%,southbound,pirates,12/1399
100%+,northbound,unknown,12/1399
48%,southbound,merpeople,12/1399
80%,southbound,water elemental,12/1399
42%,southbound,merpeople,12/1399
81%,southbound,water elemental,12/1399
13%,northbound,sharks,12/1399
15%,northbound,pirates,12/1399
37%,southbound,sharks,12/1399
30%,northbound,pirates,12/1399
41%,northbound,pirates,12/1399
100%+,southbound,unknown,12/1399
36%,northbound,pirates,12/1399
74%,southbound,water elemental,12/1399
84%,northbound,water elemental,12/1399
80%,northbound,nessie,12/1399
77%,northbound,water elemental,12/1399
21%,northbound,pirates,12/1399
59%,southbound,kraken,12/1399
20%,northbound,pirates,12/1399
27%,southbound,pirates,12/1399
33%,southbound,pirates,12/1399
100%+,southbound,unknown,12/1399
12%,northbound,harpy,12/1399
23%,northbound,sharks,12/1399
23%,northbound,pirates,12/1399
82%,northbound,nessie,12/1399
94%,southbound,demon whale,12/1399
27%,northbound,sharks,12/1399
19%,northbound,pirates,12/1399
22%,southbound,pirates,12/1399
28%,northbound,pirates,12/1399
16%,northbound,pirates,12/1399
100%+,southbound,unknown,12/1399
7%,northbound,harpy,12/1399
50%,southbound,pirates,12/1399
22%,southbound,sharks,12/1399
51%,northbound,merpeople,12/1399
82%,southbound,water elemental,12/1399
100%+,northbound,unknown,12/1399
28%,southbound,sharks,12/1399
100%+,southbound,unknown,12/1399
14%,northbound,harpy,12/1399
100%+,northbound,unknown,12/1399
97%,southbound,nessie,12/1399
18%,southbound,pirates,12/1399
41%,southbound,merpeople,12/1399
62%,southbound,merpeople,12/1399
100%+,northbound,unknown,12/1399
46%,northbound,pirates,12/1399
49%,southbound,kraken,12/1399
14%,northbound,pirates,12/1399
23%,northbound,pirates,12/1399
52%,northbound,pirates,12/1399
37%,northbound,sharks,12/1399
14%,southbound,pirates,12/1399
5%,northbound,sharks,12/1399
25%,northbound,sharks,12/1399
46%,southbound,merpeople,12/1399
29%,northbound,sharks,12/1399
16%,southbound,pirates,12/1399
29%,southbound,sharks,12/1399
43%,northbound,crabmonsters,12/1399
52%,northbound,kraken,1/1400
29%,northbound,sharks,1/1400
51%,southbound,kraken,1/1400
19%,southbound,sharks,1/1400
46%,northbound,kraken,1/1400
100%+,northbound,unknown,1/1400
55%,southbound,crabmonsters,1/1400
16%,southbound,pirates,1/1400
53%,southbound,kraken,1/1400
46%,southbound,kraken,1/1400
100%+,northbound,unknown,1/1400
47%,southbound,pirates,1/1400
24%,southbound,sharks,1/1400
86%,northbound,nessie,1/1400
100%+,southbound,unknown,1/1400
16%,northbound,sharks,1/1400
100%+,northbound,unknown,1/1400
60%,northbound,merpeople,1/1400
99%,southbound,nessie,1/1400
80%,northbound,water elemental,1/1400
100%+,southbound,unknown,1/1400
5%,southbound,pirates,1/1400
17%,northbound,merpeople,1/1400
56%,northbound,kraken,1/1400
17%,southbound,pirates,1/1400
10%,southbound,pirates,1/1400
22%,northbound,pirates,1/1400
23%,northbound,sharks,1/1400
37%,northbound,pirates,1/1400
13%,southbound,pirates,1/1400
39%,southbound,pirates,1/1400
48%,northbound,kraken,1/1400
100%+,southbound,unknown,1/1400
66%,northbound,merpeople,1/1400
78%,southbound,water elemental,1/1400
42%,southbound,merpeople,1/1400
16%,northbound,crabmonsters,1/1400
31%,southbound,sharks,1/1400
100%+,northbound,unknown,1/1400
46%,northbound,kraken,1/1400
44%,northbound,pirates,1/1400
100%+,southbound,unknown,1/1400
77%,northbound,nessie,1/1400
10%,southbound,sharks,1/1400
100%+,northbound,unknown,1/1400
100%+,southbound,unknown,1/1400
78%,northbound,nessie,1/1400
69%,northbound,merpeople,1/1400
24%,northbound,sharks,1/1400
28%,northbound,merpeople,1/1400
35%,southbound,pirates,1/1400
42%,southbound,kraken,1/1400
56%,southbound,merpeople,1/1400
15%,southbound,pirates,1/1400
43%,northbound,kraken,1/1400
6%,northbound,pirates,1/1400
49%,northbound,pirates,1/1400
7%,northbound,sharks,1/1400
100%+,southbound,unknown,1/1400
22%,northbound,pirates,1/1400
18%,northbound,crabmonsters,1/1400
41%,northbound,pirates,1/1400
36%,northbound,sharks,1/1400
100%+,southbound,unknown,1/1400
99%,northbound,merpeople,1/1400
58%,northbound,kraken,1/1400
12%,northbound,pirates,1/1400
39%,northbound,pirates,1/1400
49%,northbound,merpeople,1/1400
49%,southbound,pirates,1/1400
83%,northbound,water elemental,1/1400
23%,northbound,sharks,1/1400
56%,northbound,merpeople,1/1400
25%,southbound,pirates,1/1400
35%,northbound,kraken,1/1400
44%,northbound,pirates,1/1400
20%,southbound,pirates,1/1400
31%,northbound,sharks,1/1400
15%,northbound,pirates,1/1400
22%,northbound,pirates,1/1400
18%,northbound,harpy,1/1400
26%,northbound,sharks,1/1400
21%,southbound,harpy,1/1400
72%,southbound,crabmonsters,1/1400
78%,northbound,water elemental,1/1400
10%,northbound,sharks,1/1400
97%,southbound,demon whale,1/1400
37%,northbound,pirates,1/1400
16%,southbound,pirates,1/1400
100%+,southbound,unknown,1/1400
88%,southbound,nessie,1/1400
22%,southbound,pirates,1/1400
82%,northbound,water elemental,1/1400
88%,northbound,nessie,1/1400
87%,northbound,nessie,1/1400
51%,northbound,merpeople,1/1400
34%,southbound,sharks,1/1400
30%,northbound,pirates,1/1400
36%,southbound,pirates,1/1400
41%,southbound,pirates,1/1400
25%,northbound,pirates,1/1400
23%,southbound,sharks,1/1400
100%+,northbound,unknown,1/1400
19%,southbound,harpy,1/1400
19%,southbound,sharks,1/1400
35%,southbound,pirates,1/1400
16%,northbound,sharks,1/1400
100%+,southbound,unknown,1/1400
61%,northbound,merpeople,1/1400
100%+,southbound,unknown,1/1400
16%,southbound,harpy,1/1400
75%,northbound,water elemental,1/1400
22%,northbound,sharks,1/1400
12%,southbound,sharks,1/1400
33%,northbound,merpeople,1/1400
34%,northbound,crabmonsters,1/1400
43%,northbound,pirates,1/1400
35%,southbound,kraken,1/1400
17%,southbound,pirates,1/1400
34%,northbound,merpeople,1/1400
24%,southbound,pirates,1/1400
83%,southbound,water elemental,1/1400
13%,southbound,merpeople,1/1400
75%,southbound,merpeople,1/1400
11%,northbound,harpy,1/1400
23%,southbound,pirates,1/1400
48%,southbound,merpeople,1/1400
23%,southbound,sharks,1/1400
14%,southbound,harpy,1/1400
37%,northbound,pirates,1/1400
34%,southbound,sharks,1/1400
100%+,southbound,unknown,1/1400
29%,southbound,sharks,1/1400
49%,northbound,kraken,1/1400
19%,southbound,sharks,1/1400
8%,southbound,sharks,1/1400
31%,southbound,pirates,1/1400
30%,southbound,crabmonsters,1/1400
12%,northbound,harpy,1/1400
82%,southbound,water elemental,1/1400
20%,northbound,pirates,1/1400
8%,northbound,harpy,1/1400
42%,northbound,pirates,1/1400
31%,southbound,pirates,1/1400
14%,northbound,pirates,1/1400
81%,southbound,water elemental,1/1400
100%+,southbound,unknown,1/1400
13%,southbound,pirates,1/1400
100%+,southbound,unknown,1/1400
16%,southbound,pirates,1/1400
100%+,northbound,unknown,1/1400
23%,southbound,pirates,1/1400
56%,northbound,kraken,1/1400
19%,northbound,pirates,1/1400
40%,northbound,pirates,1/1400
100%+,southbound,unknown,1/1400
100%+,southbound,unknown,1/1400
32%,southbound,sharks,1/1400
49%,northbound,merpeople,1/1400
12%,southbound,harpy,1/1400
50%,northbound,pirates,1/1400
25%,southbound,pirates,1/1400
16%,northbound,harpy,1/1400
80%,southbound,water elemental,1/1400
46%,northbound,pirates,1/1400
34%,northbound,pirates,1/1400
13%,southbound,harpy,1/1400
16%,southbound,sharks,1/1400
23%,northbound,pirates,1/1400
53%,northbound,pirates,1/1400
52%,southbound,kraken,1/1400
100%+,northbound,unknown,1/1400
8%,southbound,harpy,1/1400
84%,southbound,water elemental,1/1400
31%,southbound,pirates,1/1400
77%,northbound,merpeople,1/1400
83%,southbound,water elemental,1/1400
21%,southbound,pirates,1/1400
85%,northbound,water elemental,1/1400
51%,southbound,pirates,1/1400
22%,southbound,pirates,1/1400
35%,northbound,sharks,1/1400
19%,southbound,pirates,1/1400
9%,northbound,harpy,1/1400
75%,northbound,nessie,2/1400
19%,northbound,harpy,2/1400
39%,southbound,kraken,2/1400
45%,northbound,kraken,2/1400
35%,northbound,pirates,2/1400
41%,northbound,pirates,2/1400
35%,northbound,sharks,2/1400
33%,southbound,sharks,2/1400
100%+,southbound,unknown,2/1400
6%,southbound,harpy,2/1400
100%+,northbound,unknown,2/1400
97%,southbound,nessie,2/1400
18%,southbound,crabmonsters,2/1400
61%,southbound,kraken,2/1400
83%,southbound,water elemental,2/1400
41%,southbound,kraken,2/1400
91%,southbound,demon whale,2/1400
56%,northbound,kraken,2/1400
82%,northbound,water elemental,2/1400
26%,southbound,merpeople,2/1400
26%,northbound,sharks,2/1400
100%+,northbound,unknown,2/1400
8%,southbound,pirates,2/1400
39%,northbound,sharks,2/1400
91%,northbound,demon whale,2/1400
24%,southbound,sharks,2/1400
77%,southbound,water elemental,2/1400
31%,southbound,sharks,2/1400
57%,southbound,kraken,2/1400
63%,southbound,merpeople,2/1400
14%,southbound,pirates,2/1400
33%,southbound,merpeople,2/1400
36%,southbound,pirates,2/1400
44%,northbound,pirates,2/1400
74%,southbound,water elemental,2/1400
74%,northbound,merpeople,2/1400
42%,northbound,pirates,2/1400
33%,northbound,merpeople,2/1400
59%,northbound,kraken,2/1400
82%,northbound,water elemental,2/1400
77%,southbound,water elemental,2/1400
89%,southbound,merpeople,2/1400
100%+,northbound,unknown,2/1400
11%,northbound,pirates,2/1400
45%,southbound,pirates,2/1400
29%,southbound,sharks,2/1400
79%,southbound,water elemental,2/1400
62%,northbound,kraken,2/1400
100%+,northbound,unknown,2/1400
17%,northbound,pirates,2/1400
17%,northbound,pirates,2/1400
6%,northbound,crabmonsters,2/1400
15%,northbound,pirates,2/1400
18%,northbound,sharks,2/1400
78%,southbound,water elemental,2/1400
14%,southbound,pirates,2/1400
10%,southbound,harpy,2/1400
65%,southbound,kraken,2/1400
14%,northbound,sharks,2/1400
12%,southbound,pirates,2/1400
56%,southbound,pirates,2/1400
15%,southbound,pirates,2/1400
80%,southbound,nessie,2/1400
16%,northbound,harpy,2/1400
82%,southbound,water elemental,2/1400
100%+,northbound,unknown,2/1400
44%,southbound,pirates,2/1400
18%,southbound,merpeople,2/1400
88%,northbound,merpeople,2/1400
47%,northbound,merpeople,2/1400
37%,northbound,merpeople,2/1400
17%,northbound,harpy,2/1400
14%,southbound,pirates,2/1400
16%,northbound,pirates,2/1400
42%,northbound,pirates,2/1400
53%,southbound,kraken,2/1400
81%,northbound,water elemental,2/1400
80%,northbound,nessie,2/1400
96%,southbound,demon whale,2/1400
71%,southbound,kraken,2/1400
13%,southbound,sharks,2/1400
21%,northbound,pirates,2/1400
74%,northbound,water elemental,2/1400
49%,northbound,kraken,2/1400
11%,southbound,sharks,2/1400
96%,southbound,demon whale,2/1400
73%,southbound,kraken,2/1400
100%+,southbound,unknown,2/1400
60%,southbound,merpeople,2/1400
50%,southbound,merpeople,2/1400
100%+,southbound,unknown,2/1400
66%,northbound,merpeople,2/1400
17%,northbound,sharks,2/1400
47%,northbound,merpeople,2/1400
17%,southbound,sharks,2/1400
28%,southbound,sharks,2/1400
47%,northbound,kraken,2/1400
100%+,southbound,unknown,2/1400
100%+,northbound,unknown,2/1400
35%,southbound,sharks,2/1400
17%,northbound,pirates,2/1400
5%,northbound,harpy,2/1400
84%,southbound,nessie,2/1400
10%,northbound,harpy,2/1400
33%,northbound,merpeople,2/1400
25%,northbound,pirates,2/1400
65%,southbound,merpeople,2/1400
32%,southbound,pirates,2/1400
100%+,southbound,unknown,2/1400
40%,southbound,pirates,2/1400
76%,northbound,water elemental,2/1400
15%,southbound,merpeople,2/1400
83%,northbound,water elemental,2/1400
39%,southbound,pirates,2/1400
70%,southbound,kraken,2/1400
77%,southbound,water elemental,2/1400
35%,southbound,sharks,2/1400
6%,southbound,harpy,2/1400
69%,northbound,nessie,2/1400
100%+,northbound,unknown,2/1400
18%,southbound,pirates,2/1400
23%,southbound,pirates,2/1400
100%+,southbound,unknown,2/1400
28%,northbound,pirates,2/1400
18%,northbound,merpeople,2/1400
18%,southbound,crabmonsters,2/1400
38%,southbound,pirates,2/1400
13%,southbound,merpeople,2/1400
18%,southbound,pirates,2/1400
37%,northbound,pirates,2/1400
23%,southbound,merpeople,2/1400
37%,northbound,pirates,2/1400
24%,northbound,sharks,2/1400
17%,southbound,pirates,2/1400
19%,southbound,pirates,2/1400
34%,northbound,merpeople,2/1400
45%,southbound,merpeople,2/1400
85%,southbound,demon whale,2/1400
85%,northbound,water elemental,2/1400
28%,northbound,sharks,2/1400
14%,southbound,pirates,2/1400
50%,northbound,merpeople,2/1400
100%+,southbound,unknown,2/1400
19%,northbound,pirates,2/1400
15%,northbound,pirates,2/1400
47%,northbound,pirates,2/1400
56%,southbound,kraken,2/1400
64%,southbound,kraken,2/1400
39%,northbound,kraken,2/1400
24%,southbound,sharks,2/1400
29%,northbound,sharks,2/1400
18%,southbound,pirates,2/1400
64%,southbound,pirates,2/1400
19%,northbound,sharks,2/1400
62%,northbound,merpeople,2/1400
22%,southbound,crabmonsters,2/1400
38%,northbound,pirates,2/1400
100%+,southbound,unknown,2/1400
80%,northbound,water elemental,2/1400
28%,northbound,pirates,2/1400
22%,northbound,harpy,2/1400
40%,northbound,crabmonsters,2/1400
29%,southbound,merpeople,2/1400
24%,northbound,pirates,2/1400
42%,southbound,merpeople,2/1400
15%,northbound,sharks,2/1400
40%,southbound,merpeople,2/1400
86%,northbound,merpeople,2/1400
71%,southbound,merpeople,2/1400
23%,northbound,crabmonsters,2/1400
100%+,southbound,unknown,2/1400
13%,northbound,pirates,2/1400
29%,northbound,pirates,2/1400
100%+,southbound,unknown,2/1400
100%+,southbound,unknown,2/1400
21%,northbound,merpeople,2/1400
81%,southbound,water elemental,2/1400
22%,southbound,sharks,3/1400
100%+,southbound,unknown,3/1400
80%,southbound,water elemental,3/1400
88%,southbound,nessie,3/1400
95%,northbound,demon whale,3/1400
20%,northbound,pirates,3/1400
51%,southbound,pirates,3/1400
10%,northbound,harpy,3/1400
53%,southbound,merpeople,3/1400
18%,southbound,pirates,3/1400
80%,southbound,nessie,3/1400
100%+,southbound,unknown,3/1400
37%,northbound,sharks,3/1400
61%,northbound,kraken,3/1400
75%,southbound,crabmonsters,3/1400
17%,southbound,pirates,3/1400
38%,northbound,pirates,3/1400
64%,southbound,kraken,3/1400
24%,northbound,pirates,3/1400
29%,northbound,pirates,3/1400
59%,northbound,kraken,3/1400
20%,southbound,pirates,3/1400
89%,southbound,demon whale,3/1400
13%,southbound,crabmonsters,3/1400
51%,northbound,kraken,3/1400
31%,northbound,sharks,3/1400
10%,northbound,pirates,3/1400
17%,northbound,sharks,3/1400
100%+,northbound,unknown,3/1400
32%,northbound,pirates,3/1400
12%,northbound,sharks,3/1400
20%,southbound,pirates,3/1400
55%,southbound,kraken,3/1400
85%,southbound,merpeople,3/1400
84%,southbound,water elemental,3/1400
30%,northbound,sharks,3/1400
35%,southbound,pirates,3/1400
47%,northbound,pirates,3/1400
61%,northbound,merpeople,3/1400
27%,northbound,sharks,3/1400
13%,southbound,harpy,3/1400
100%+,southbound,unknown,3/1400
17%,southbound,pirates,3/1400
38%,northbound,merpeople,3/1400
15%,southbound,pirates,3/1400
100%+,southbound,unknown,3/1400
11%,northbound,pirates,3/1400
89%,northbound,nessie,3/1400
100%+,southbound,unknown,3/1400
100%+,southbound,unknown,3/1400
22%,southbound,pirates,3/1400
32%,northbound,sharks,3/1400
3%,northbound,crabmonsters,3/1400
17%,northbound,pirates,3/1400
22%,southbound,harpy,3/1400
56%,northbound,merpeople,3/1400
88%,southbound,nessie,3/1400
100%+,southbound,unknown,3/1400
17%,southbound,harpy,3/1400
78%,northbound,water elemental,3/1400
64%,northbound,kraken,3/1400
67%,northbound,merpeople,3/1400
37%,southbound,pirates,3/1400
12%,northbound,sharks,3/1400
26%,northbound,sharks,3/1400
58%,southbound,merpeople,3/1400
84%,northbound,nessie,3/1400
58%,southbound,kraken,3/1400
10%,northbound,harpy,3/1400
0%,southbound,crabmonsters,3/1400
23%,southbound,pirates,3/1400
36%,northbound,pirates,3/1400
11%,northbound,harpy,3/1400
12%,southbound,harpy,3/1400
32%,southbound,pirates,3/1400
22%,northbound,merpeople,3/1400
81%,southbound,water elemental,3/1400
31%,northbound,pirates,3/1400
45%,southbound,kraken,3/1400
10%,northbound,pirates,3/1400
12%,northbound,merpeople,3/1400
80%,southbound,water elemental,3/1400
13%,southbound,harpy,3/1400
17%,northbound,pirates,3/1400
18%,northbound,pirates,3/1400
17%,northbound,pirates,3/1400
47%,northbound,pirates,3/1400
24%,southbound,pirates,3/1400
56%,northbound,kraken,3/1400
100%+,southbound,unknown,3/1400
31%,southbound,pirates,3/1400
63%,southbound,crabmonsters,3/1400
79%,southbound,water elemental,3/1400
34%,northbound,pirates,3/1400
46%,northbound,merpeople,3/1400
44%,northbound,pirates,3/1400
100%+,northbound,unknown,3/1400
60%,northbound,kraken,3/1400
40%,southbound,pirates,3/1400
82%,southbound,water elemental,3/1400
17%,southbound,harpy,3/1400
19%,northbound,pirates,3/1400
43%,southbound,kraken,3/1400
80%,northbound,water elemental,3/1400
15%,southbound,harpy,3/1400
41%,northbound,crabmonsters,3/1400
21%,southbound,pirates,3/1400
20%,southbound,sharks,3/1400
17%,southbound,sharks,3/1400
21%,southbound,pirates,3/1400
100%+,southbound,unknown,3/1400
19%,southbound,sharks,3/1400
17%,southbound,harpy,3/1400
37%,southbound,merpeople,3/1400
61%,northbound,merpeople,3/1400
47%,northbound,pirates,3/1400
29%,southbound,pirates,3/1400
38%,southbound,pirates,3/1400
15%,southbound,pirates,3/1400
30%,northbound,pirates,3/1400
37%,southbound,pirates,3/1400
28%,northbound,sharks,3/1400
11%,southbound,sharks,3/1400
100%+,northbound,unknown,3/1400
30%,northbound,sharks,3/1400
13%,southbound,sharks,3/1400
24%,northbound,pirates,3/1400
7%,southbound,harpy,3/1400
28%,northbound,sharks,3/1400
50%,northbound,merpeople,3/1400
100%+,southbound,unknown,3/1400
49%,southbound,kraken,3/1400
85%,southbound,water elemental,3/1400
16%,southbound,pirates,3/1400
100%+,southbound,unknown,3/1400
14%,southbound,pirates,3/1400
17%,northbound,harpy,3/1400
100%+,southbound,unknown,3/1400
57%,northbound,merpeople,3/1400
59%,southbound,merpeople,3/1400
100%+,southbound,unknown,3/1400
48%,southbound,kraken,3/1400
50%,southbound,kraken,3/1400
79%,southbound,water elemental,3/1400
26%,northbound,pirates,3/1400
25%,northbound,pirates,3/1400
12%,southbound,pirates,3/1400
100%+,northbound,unknown,3/1400
34%,southbound,sharks,3/1400
100%+,southbound,unknown,3/1400
28%,southbound,pirates,3/1400
16%,northbound,pirates,3/1400
61%,northbound,merpeople,3/1400
100%+,northbound,unknown,3/1400
33%,northbound,pirates,3/1400
31%,northbound,sharks,3/1400
48%,southbound,merpeople,3/1400
100%+,northbound,unknown,3/1400
9%,northbound,pirates,3/1400
89%,southbound,crabmonsters,3/1400
15%,northbound,harpy,3/1400
10%,southbound,pirates,3/1400
32%,southbound,pirates,3/1400
83%,northbound,nessie,3/1400
38%,northbound,pirates,3/1400
100%+,northbound,unknown,3/1400
14%,northbound,harpy,3/1400
15%,southbound,harpy,3/1400
100%+,northbound,unknown,3/1400
100%+,northbound,unknown,3/1400
23%,southbound,pirates,3/1400
7%,northbound,crabmonsters,3/1400
18%,southbound,pirates,3/1400
44%,northbound,merpeople,3/1400
30%,northbound,pirates,3/1400
75%,southbound,water elemental,3/1400
17%,northbound,pirates,3/1400
100%+,northbound,unknown,3/1400
30%,southbound,sharks,3/1400
17%,northbound,crabmonsters,3/1400
25%,northbound,crabmonsters,3/1400
55%,southbound,pirates,3/1400
16%,southbound,pirates,3/1400
48%,southbound,merpeople,3/1400
51%,northbound,pirates,3/1400
83%,southbound,nessie,3/1400
18%,southbound,pirates,3/1400
82%,southbound,nessie,4/1400
79%,northbound,water elemental,4/1400
16%,northbound,harpy,4/1400
76%,northbound,water elemental,4/1400
30%,southbound,crabmonsters,4/1400
42%,northbound,kraken,4/1400
100%+,northbound,unknown,4/1400
79%,southbound,water elemental,4/1400
48%,southbound,kraken,4/1400
30%,northbound,sharks,4/1400
25%,southbound,sharks,4/1400
27%,northbound,sharks,4/1400
81%,northbound,water elemental,4/1400
43%,southbound,merpeople,4/1400
90%,northbound,nessie,4/1400
13%,northbound,sharks,4/1400
18%,northbound,pirates,4/1400
64%,southbound,kraken,4/1400
82%,southbound,water elemental,4/1400
52%,northbound,merpeople,4/1400
100%+,southbound,unknown,4/1400
26%,southbound,pirates,4/1400
34%,northbound,pirates,4/1400
14%,northbound,harpy,4/1400
100%+,northbound,unknown,4/1400
18%,northbound,pirates,4/1400
19%,northbound,sharks,4/1400
66%,southbound,merpeople,4/1400
49%,southbound,merpeople,4/1400
26%,southbound,pirates,4/1400
77%,southbound,water elemental,4/1400
26%,southbound,sharks,4/1400
75%,southbound,crabmonsters,4/1400
39%,northbound,sharks,4/1400
77%,northbound,water elemental,4/1400
18%,southbound,harpy,4/1400
62%,southbound,kraken,4/1400
83%,northbound,water elemental,4/1400
15%,northbound,sharks,4/1400
20%,northbound,harpy,4/1400
59%,southbound,merpeople,4/1400
100%+,southbound,unknown,4/1400
91%,northbound,demon whale,4/1400
37%,southbound,pirates,4/1400
11%,southbound,harpy,4/1400
40%,southbound,merpeople,4/1400
24%,southbound,crabmonsters,4/1400
99%,northbound,demon whale,4/1400
29%,southbound,pirates,4/1400
42%,southbound,pirates,4/1400
53%,southbound,kraken,4/1400
37%,southbound,pirates,4/1400
85%,northbound,water elemental,4/1400
14%,northbound,pirates,4/1400
26%,southbound,sharks,4/1400
9%,northbound,crabmonsters,4/1400
12%,southbound,harpy,4/1400
26%,northbound,crabmonsters,4/1400
100%+,northbound,unknown,4/1400
100%+,southbound,unknown,4/1400
37%,northbound,pirates,4/1400
18%,southbound,pirates,4/1400
19%,southbound,sharks,4/1400
2%,southbound,crabmonsters,4/1400
52%,southbound,kraken,4/1400
79%,southbound,water elemental,4/1400
25%,northbound,pirates,4/1400
21%,northbound,pirates,4/1400
49%,southbound,kraken,4/1400
18%,southbound,sharks,4/1400
11%,northbound,sharks,4/1400
15%,southbound,pirates,4/1400
83%,northbound,nessie,4/1400
17%,northbound,pirates,4/1400
91%,southbound,merpeople,4/1400
100%+,southbound,unknown,4/1400
25%,northbound,pirates,4/1400
59%,northbound,kraken,4/1400
54%,southbound,kraken,4/1400
50%,southbound,kraken,4/1400
25%,southbound,sharks,4/1400
17%,northbound,pirates,4/1400
82%,southbound,water elemental,4/1400
82%,northbound,water elemental,4/1400
18%,northbound,pirates,4/1400
81%,southbound,merpeople,4/1400
66%,northbound,merpeople,4/1400
62%,southbound,pirates,4/1400
45%,northbound,merpeople,4/1400
15%,southbound,harpy,4/1400
82%,northbound,water elemental,4/1400
100%+,southbound,unknown,4/1400
22%,southbound,sharks,4/1400
49%,northbound,kraken,4/1400
22%,northbound,sharks,4/1400
45%,northbound,pirates,4/1400
53%,southbound,merpeople,4/1400
35%,southbound,pirates,4/1400
99%,southbound,demon whale,4/1400
100%+,northbound,unknown,4/1400
49%,southbound,kraken,4/1400
34%,southbound,pirates,4/1400
66%,northbound,kraken,4/1400
100%+,southbound,unknown,4/1400
15%,northbound,merpeople,4/1400
54%,southbound,kraken,4/1400
17%,northbound,pirates,4/1400
7%,northbound,pirates,4/1400
25%,southbound,pirates,4/1400
22%,northbound,merpeople,4/1400
84%,southbound,nessie,4/1400
11%,northbound,harpy,4/1400
69%,southbound,merpeople,4/1400
9%,northbound,pirates,4/1400
59%,northbound,kraken,4/1400
17%,southbound,pirates,4/1400
19%,southbound,sharks,4/1400
53%,southbound,kraken,4/1400
83%,southbound,nessie,4/1400
84%,northbound,water elemental,4/1400
33%,southbound,sharks,4/1400
97%,southbound,demon whale,4/1400
48%,southbound,merpeople,4/1400
66%,northbound,kraken,4/1400
36%,southbound,pirates,4/1400
100%+,southbound,unknown,4/1400
56%,northbound,kraken,4/1400
52%,northbound,pirates,4/1400
23%,southbound,pirates,4/1400
19%,southbound,sharks,4/1400
12%,northbound,sharks,4/1400
58%,northbound,kraken,4/1400
80%,southbound,water elemental,4/1400
23%,northbound,merpeople,4/1400
100%+,southbound,unknown,4/1400
35%,northbound,crabmonsters,4/1400
48%,southbound,merpeople,4/1400
52%,northbound,kraken,4/1400
20%,southbound,harpy,4/1400
47%,northbound,pirates,4/1400
67%,northbound,kraken,4/1400
80%,northbound,water elemental,4/1400
83%,southbound,water elemental,4/1400
24%,southbound,sharks,4/1400
59%,northbound,kraken,4/1400
18%,northbound,pirates,4/1400
43%,northbound,kraken,4/1400
29%,southbound,pirates,4/1400
13%,northbound,sharks,4/1400
56%,northbound,kraken,4/1400
48%,northbound,merpeople,4/1400
33%,southbound,pirates,4/1400
81%,southbound,crabmonsters,4/1400
26%,northbound,sharks,4/1400
56%,southbound,merpeople,4/1400
18%,southbound,harpy,4/1400
33%,northbound,pirates,4/1400
26%,northbound,merpeople,4/1400
78%,southbound,merpeople,4/1400
13%,southbound,pirates,4/1400
24%,southbound,pirates,4/1400
49%,northbound,merpeople,4/1400
22%,northbound,pirates,4/1400
19%,southbound,pirates,4/1400
19%,northbound,sharks,4/1400
97%,southbound,demon whale,4/1400
81%,northbound,water elemental,4/1400
62%,northbound,merpeople,4/1400
30%,northbound,sharks,4/1400
19%,southbound,sharks,4/1400
1%,southbound,crabmonsters,4/1400
33%,northbound,pirates,4/1400
15%,northbound,sharks,4/1400
80%,northbound,water elemental,4/1400
24%,northbound,pirates,4/1400
9%,southbound,sharks,4/1400
19%,northbound,pirates,4/1400
99%,southbound,demon whale,4/1400
16%,southbound,pirates,4/1400
80%,northbound,demon whale,4/1400
85%,northbound,demon whale,4/1400
42%,southbound,kraken,4/1400
43%,southbound,merpeople,4/1400
19%,northbound,sharks,4/1400
44%,southbound,pirates,4/1400
22%,southbound,merpeople,4/1400
27%,southbound,pirates,4/1400
28%,northbound,pirates,4/1400
42%,northbound,pirates,4/1400
80%,northbound,nessie,4/1400
43%,southbound,pirates,4/1400
22%,southbound,sharks,5/1400
9%,northbound,harpy,5/1400
62%,southbound,merpeople,5/1400
30%,northbound,sharks,5/1400
91%,southbound,nessie,5/1400
9%,southbound,harpy,5/1400
100%+,southbound,unknown,5/1400
18%,northbound,crabmonsters,5/1400
